Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 16.35      1.12     1.12  3669503     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
  9.64      1.78     0.66  6291069     0.00     0.00  bitvec::bitvec(int, unsigned long)
  9.49      2.43     0.65  1048575     0.00     0.00  opMatrix::addterms(terminfo const&) const
  5.55      2.81     0.38 12582587     0.00     0.00  bitvec::~bitvec()
  4.31      3.11     0.30  2097150     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  3.94      3.38     0.27  6815255     0.00     0.00  bitvec::operator=(bitvec const&)
  3.65      3.63     0.25       46     0.01     0.01  termlist::clear()
  3.36      3.86     0.23  6291518     0.00     0.00  bitvec::bitvec(bitvec const&)
  3.07      4.07     0.21  2097173     0.00     0.00  quSubString::unmap(bitvec const&) const
  2.77      4.26     0.19  6815255     0.00     0.00  bitvec::setlen(int)
  2.48      4.43     0.17  2097173     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  2.34      4.59     0.16  3669503     0.00     0.00  term::setampl(std::complex<double> const&)
  2.26      4.74     0.16  4193825     0.00     0.00  std::complex<double>::complex(double, double)
  2.04      4.88     0.14  2097151     0.00     0.00  bitvec::operator|=(bitvec const&)
  1.90      5.01     0.13  5766652     0.00     0.00  term::ampl() const
  1.75      5.13     0.12  4188195     0.00     0.00  bitvec::hashfunct() const
  1.46      5.23     0.10 11528196     0.00     0.00  term::vect() const
  1.31      5.32     0.09  3145748     0.00     0.00  quSubString::mapoffs() const
  1.31      5.41     0.09  2097150     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  1.31      5.50     0.09       20     0.00     0.32  opElementary::apply(quState&) const
  1.17      5.58     0.08  2097173     0.00     0.00  bitvec::setbits(int, bitvec const&)
  1.02      5.65     0.07  3669526     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  1.02      5.72     0.07  3145242     0.00     0.00  term::~term()
  1.02      5.79     0.07  2097150     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  1.02      5.86     0.07  2097150     0.00     0.00  operator|(bitvec const&, bitvec const&)
  1.02      5.93     0.07  1048575     0.00     0.00  quSubString::map(bitvec const&) const
  0.88      5.99     0.06  3145948     0.00     0.00  quState::mapbits() const
  0.88      6.05     0.06  3145242     0.00     0.00  term::term()
  0.73      6.10     0.05  4718078     0.00     0.00  term::setvect(bitvec const&)
  0.73      6.15     0.05  1048575     0.00     0.00  quBaseState::baseterm(int) const
  0.66      6.20     0.05  2097150     0.00     0.00  std::complex<double>::real() const
  0.58      6.24     0.04  1048575     0.00     0.00  quBaseState::map(bitvec const&) const
  0.58      6.28     0.04  1048575     0.00     0.00  termlist::operator[](int) const
  0.58      6.32     0.04        1     0.04     0.04  _GLOBAL__sub_I_nbitvecs
  0.44      6.35     0.03  1048576     0.00     0.00  operator&(bitvec const&, bitvec const&)
  0.44      6.38     0.03  1048575     0.00     0.00  quSubState::baseterm(int) const
  0.44      6.41     0.03                             term::term(term const&)
  0.36      6.43     0.03  1048575     0.00     0.00  bitvec::getword() const
  0.29      6.45     0.02  3145728     0.00     0.00  bitvec::length() const
