Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.71      1.20     1.20  3669503     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
  8.64      1.86     0.66 14679737     0.00     0.00  bitvec::~bitvec()
  7.59      2.44     0.58  7339644     0.00     0.00  bitvec::bitvec(int, unsigned long)
  6.68      2.95     0.51  1048575     0.00     0.00  opMatrix::addterms(terminfo const&) const
  5.76      3.39     0.44  7863830     0.00     0.00  bitvec::setlen(int)
  4.84      3.76     0.37  7340093     0.00     0.00  bitvec::bitvec(bitvec const&)
  3.14      4.00     0.24  2097173     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  3.01      4.23     0.23  7863830     0.00     0.00  bitvec::operator=(bitvec const&)
  2.88      4.45     0.22       46     0.00     0.00  termlist::clear()
  2.49      4.64     0.19 12576771     0.00     0.00  term::vect() const
  2.49      4.83     0.19  2097173     0.00     0.00  quSubString::unmap(bitvec const&) const
  2.36      5.01     0.18  2097150     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  2.09      5.17     0.16  2097150     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  2.09      5.33     0.16       20     0.01     0.37  opElementary::apply(quState&) const
  1.83      5.47     0.14  5242400     0.00     0.00  std::complex<double>::complex(double, double)
  1.83      5.61     0.14  2097150     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  1.70      5.74     0.13  3669503     0.00     0.00  term::setampl(std::complex<double> const&)
  1.57      5.86     0.12  4718078     0.00     0.00  term::setvect(bitvec const&)
  1.44      5.97     0.11  4188195     0.00     0.00  bitvec::hashfunct() const
  1.31      6.07     0.10  3669526     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  1.18      6.16     0.09  1048575     0.00     0.00  bitvec::getbits(int, int) const
  1.11      6.25     0.09  2097151     0.00     0.00  bitvec::operator|=(bitvec const&)
  1.05      6.33     0.08  6815227     0.00     0.00  term::ampl() const
  1.05      6.41     0.08  3145242     0.00     0.00  term::term()
  1.05      6.49     0.08  1048575     0.00     0.00  quSubString::map(bitvec const&) const
  0.92      6.56     0.07  3145748     0.00     0.00  quSubString::mapoffs() const
  0.92      6.63     0.07  1048575     0.00     0.00  term::term(term const&)
  0.79      6.69     0.06  4193817     0.00     0.00  term::~term()
  0.79      6.75     0.06  2097173     0.00     0.00  bitvec::setbits(int, bitvec const&)
