Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.04     0.04   114175     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
 10.71      0.07     0.03   458385     0.00     0.00  bitvec::~bitvec()
 10.71      0.10     0.03   163355     0.00     0.00  std::complex<double>::complex(double, double)
  7.14      0.12     0.02    65552     0.00     0.00  quSubString::unmap(bitvec const&) const
  3.57      0.13     0.01   392076     0.00     0.00  term::vect() const
  3.57      0.14     0.01   245265     0.00     0.00  bitvec::operator=(bitvec const&)
  3.57      0.15     0.01   229422     0.00     0.00  bitvec::bitvec(bitvec const&)
  3.57      0.16     0.01   228963     0.00     0.00  bitvec::bitvec(int, unsigned long)
  3.57      0.17     0.01   129954     0.00     0.00  bitvec::hashfunct() const
  3.57      0.18     0.01   114175     0.00     0.00  term::setampl(std::complex<double> const&)
  3.57      0.19     0.01    65535     0.00     0.00  bitvec::operator|=(bitvec const&)
  3.57      0.20     0.01    65534     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  3.57      0.21     0.01    65534     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  3.57      0.22     0.01    32767     0.00     0.00  bitvec::getbits(int, int) const
  3.57      0.23     0.01    32767     0.00     0.00  bitvec::getword() const
  3.57      0.24     0.01    32767     0.00     0.01  opMatrix::addterms(terminfo const&) const
  3.57      0.25     0.01    15766     0.00     0.00  termlist::hashfunct2(bitvec const&) const
  3.57      0.26     0.01     2338     0.00     0.00  yylex()
  3.57      0.27     0.01                             termlist::search(bitvec const&) const
  1.79      0.28     0.01     6456     0.00     0.00  bool std::operator><char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.79      0.28     0.01     3876     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.28     0.00   245265     0.00     0.00  bitvec::setlen(int)
  0.00      0.28     0.00   212475     0.00     0.00  term::ampl() const
  0.00      0.28     0.00   146942     0.00     0.00  term::setvect(bitvec const&)
  0.00      0.28     0.00   130580     0.00     0.00  term::~term()
  0.00      0.28     0.00   114188     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  0.00      0.28     0.00    98484     0.00     0.00  quState::mapbits() const
  0.00      0.28     0.00    98319     0.00     0.00  quSubString::mapoffs() const
  0.00      0.28     0.00    98304     0.00     0.00  bitvec::length() const
  0.00      0.28     0.00    97813     0.00     0.00  term::term()
  0.00      0.28     0.00    65552     0.00     0.00  bitvec::setbits(int, bitvec const&)
  0.00      0.28     0.00    65552     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  0.00      0.28     0.00    65552     0.00     0.00  quBaseState::unmap(bitvec const&) const
  0.00      0.28     0.00    65535     0.00     0.00  quBaseState::opadd(bitvec const&, std::complex<double> const&)
  0.00      0.28     0.00    65534     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  0.00      0.28     0.00    65534     0.00     0.00  std::complex<double>::imag() const
  0.00      0.28     0.00    65534     0.00     0.00  std::complex<double>::real() const
  0.00      0.28     0.00    65534     0.00     0.00  operator|(bitvec const&, bitvec const&)
  0.00      0.28     0.00    48640     0.00     0.00  termlist::add(term const&)
  0.00      0.28     0.00    32782     0.00     0.00  terminfo::~terminfo()
  0.00      0.28     0.00    32769     0.00     0.00  bitvec::operator&=(bitvec const&)
  0.00      0.28     0.00    32768     0.00     0.00  operator&(bitvec const&, bitvec const&)
  0.00      0.28     0.00    32767     0.00     0.00  term::term(term const&)
