Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 10.76      0.27     0.27   524287     0.00     0.00  opMatrix::addterms(terminfo const&) const
  6.97      0.45     0.18  1048609     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  6.37      0.61     0.16  1113599     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
  5.18      0.74     0.13  2719268     0.00     0.00  bitvec::operator=(bitvec const&)
  4.78      0.86     0.12  5898014     0.00     0.00  bitvec::~bitvec()
  4.78      0.98     0.12  3670112     0.00     0.00  bitvec::bitvec(bitvec const&)
  3.98      1.08     0.10  1048609     0.00     0.00  bitvec::setbits(int, bitvec const&)
  3.59      1.17     0.09  2227902     0.00     0.00  bitvec::bitvec(int, unsigned long)
  3.59      1.26     0.09  1048609     0.00     0.00  quSubString::unmap(bitvec const&) const
  3.59      1.35     0.09  1048574     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  2.79      1.42     0.07  1129436     0.00     0.00  bitvec::hashfunct() const
  2.79      1.49     0.07   524287     0.00     0.00  term::term(term const&)
  2.39      1.55     0.06  3177979     0.00     0.00  term::ampl() const
  1.99      1.60     0.05  5815237     0.00     0.00  term::vect() const
  1.99      1.65     0.05  1048576     0.00     0.00  bitvec::operator|=(bitvec const&)
  1.99      1.70     0.05  1048574     0.00     0.00  operator|(bitvec const&, bitvec const&)
  1.99      1.75     0.05   524287     0.00     0.00  quSubString::map(bitvec const&) const
  1.99      1.80     0.05       30     0.00     0.08  opElementary::apply(quState&) const
  1.59      1.84     0.04  1048575     0.00     0.00  quBaseState::opadd(bitvec const&, std::complex<double> const&)
  1.59      1.88     0.04  1048574     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  1.59      1.92     0.04   524287     0.00     0.00  terminfo::terminfo(terminfo const&)
  1.59      1.96     0.04   524287     0.00     0.00  bitvec::getbits(int, int) const
  1.39      1.99     0.04  1179190     0.00     0.00  std::complex<double>::complex(double, double)
  1.20      2.02     0.03  2719268     0.00     0.00  bitvec::setlen(int)
  1.20      2.05     0.03  1572866     0.00     0.00  bitvec::length() const
  1.20      2.08     0.03  1146366     0.00     0.00  term::setvect(bitvec const&)
  1.20      2.11     0.03  1113599     0.00     0.00  term::setampl(std::complex<double> const&)
  1.20      2.14     0.03  1048609     0.00     0.00  quBaseState::unmap(bitvec const&) const
  1.20      2.17     0.03  1048574     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  1.20      2.20     0.03       46     0.00     0.00  quSubString::quSubString(int, int, quState&)
  0.80      2.22     0.02  1573195     0.00     0.00  quState::mapbits() const
  0.80      2.24     0.02  1572896     0.00     0.00  quSubString::mapoffs() const
  0.80      2.26     0.02   524289     0.00     0.00  operator&(bitvec const&, bitvec const&)
  0.80      2.28     0.02   524287     0.00     0.00  term::operator=(term const&)
  0.80      2.30     0.02   524287     0.00     0.00  termlist::operator[](int) const
  0.80      2.32     0.02   491520     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
  0.80      2.34     0.02   491520     0.00     0.00  std::complex<double> std::operator+<double>(std::complex<double> const&, std::complex<double> const&)
  0.60      2.36     0.02  1540094     0.00     0.00  std::complex<double>::imag() const
  0.40      2.37     0.01  1113613     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  0.40      2.38     0.01   654889     0.00     0.00  term::~term()
  0.40      2.39     0.01   524287     0.00     0.00  quBaseState::map(bitvec const&) const
  0.40      2.40     0.01   524287     0.00     0.00  bitvec::getword() const
  0.40      2.41     0.01   507343     0.00     0.00  bitvec::testeq(bitvec const&) const
  0.40      2.42     0.01   507343     0.00     0.00  operator==(bitvec const&, bitvec const&)
  0.40      2.43     0.01       66     0.00     0.00  operator~(bitvec const&)
  0.40      2.44     0.01       47     0.00     0.00  termlist::clear()
  0.40      2.45     0.01       44     0.00     0.00  sDefList::sDefList()
  0.40      2.46     0.01       30     0.00     0.00  quSubState::opbegin()
  0.40      2.47     0.01        1     0.01     0.01  _GLOBAL__sub_I_qc_check_txt
  0.40      2.48     0.01                             bitvec::operator=(unsigned long)
  0.40      2.49     0.01                             bitvec::testless(bitvec const&) const
  0.20      2.49     0.01  1540094     0.00     0.00  std::complex<double>::real() const
  0.20      2.50     0.01                             bitvec::setbit(int, int)
  0.20      2.50     0.01                             std::complex<double>::imag()
