Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.68      0.51     0.51  3037491     0.00     0.00  termlist::add(bitvec const&, std::complex<double> const&)
  8.35      0.95     0.44   558406     0.00     0.00  opMatrix::addterms(terminfo const&) const
  4.93      1.21     0.26  3911138     0.00     0.00  term::~term()
  4.55      1.45     0.24       46     0.01     0.01  termlist::clear()
  3.80      1.65     0.20       20     0.01     0.01  terminfo::terminfo()
  3.61      1.84     0.19  5454770     0.00     0.00  bitvec::setlen(int)
  3.23      2.01     0.17  1257690     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  3.04      2.17     0.16  3042721     0.00     0.00  termlist::hashfunct1(bitvec const&) const
  2.85      2.32     0.15  5732742     0.00     0.00  bitvec::bitvec(int, unsigned long)
  2.85      2.47     0.15  3066266     0.00     0.00  term::setampl(std::complex<double> const&)
  2.66      2.61     0.14 10737213     0.00     0.00  bitvec::~bitvec()
  2.66      2.75     0.14  4352133     0.00     0.00  std::complex<double>::complex(double, double)
  2.47      2.88     0.13  5398789     0.00     0.00  bitvec::operator=(bitvec const&)
  2.28      3.00     0.12        4     0.03     1.00  _GLOBAL__sub_I_noperators
  1.90      3.10     0.10  4742654     0.00     0.00  bitvec::bitvec(bitvec const&)
  1.90      3.20     0.10   560205     0.00     0.00  quSubString::map(bitvec const&) const
  1.90      3.30     0.10                             bitvec::testless(bitvec const&) const
  1.80      3.40     0.10  1296963     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  1.71      3.49     0.09  1308614     0.00     0.00  quSubString::unmap(bitvec const&) const
  1.71      3.58     0.09  4516309     0.00     0.00  term::ampl() const
  1.61      3.66     0.09   571302     0.00     0.00  quBaseState::map(bitvec const&) const
  1.52      3.74     0.08   668258     0.00     0.00  term::term(term const&)
  1.52      3.82     0.08   568455     0.00     0.00  operator&(bitvec const&, bitvec const&)
  1.23      3.89     0.07  1290296     0.00     0.00  std::complex<double>::real() const
  1.14      3.95     0.06  3626216     0.00     0.00  term::setvect(bitvec const&)
  1.14      4.01     0.06  3114505     0.00     0.00  bitvec::hashfunct() const
  1.14      4.07     0.06       20     0.00     0.01  quSubState::opbegin()
  1.14      4.13     0.06       20     0.00     0.00  quBaseState::baseterms() const
  1.14      4.19     0.06       20     0.00     0.00  bitvec::operator[](int) const
  0.95      4.24     0.05  8064922     0.00     0.00  term::vect() const
  0.95      4.29     0.05  1905782     0.00     0.00  quState::mapbits() const
  0.95      4.34     0.05   716886     0.00     0.00  terminfo::terminfo(terminfo const&)
  0.95      4.39     0.05        1     0.05     0.05  _GLOBAL__sub_I_qc_check_txt
  0.95      4.44     0.05       30     0.00     0.00  quSubString::newsubstring(int, int)
  0.95      4.49     0.05                             std::pow(double, int)
  0.85      4.53     0.05  1369247     0.00     0.00  bitvec::setbits(int, int, unsigned long)
  0.85      4.58     0.05                             std::complex<double>::real()
  0.76      4.62     0.04  1385011     0.00     0.00  operator|(bitvec const&, bitvec const&)
  0.76      4.66     0.04   551029     0.00     0.00  termlist::operator[](int) const
  0.76      4.70     0.04       31     0.00     0.00  quSubString::quSubString(int, int, quState&)
  0.66      4.73     0.04  1347001     0.00     0.00  quBaseState::unmap(bitvec const&) const
  0.57      4.76     0.03  3145242     0.00     0.00  term::term()
  0.57      4.79     0.03       23     0.00     0.01  termlist::newlist()
  0.57      4.82     0.03                             bitvec::operator=(unsigned long)
  0.57      4.85     0.03                             opMatrix::~opMatrix()
  0.47      4.88     0.03                             std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&)
  0.38      4.90     0.02  2179036     0.00     0.00  bitvec::length() const
  0.38      4.92     0.02  1895045     0.00     0.00  quSubString::mapoffs() const
  0.38      4.94     0.02  1572352     0.00     0.00  termlist::add(term const&)
  0.38      4.96     0.02  1444153     0.00     0.00  quBaseState::opadd(bitvec const&, std::complex<double> const&)
  0.38      4.98     0.02  1423231     0.00     0.00  quSubState::opadd(bitvec const&, std::complex<double> const&)
  0.38      5.00     0.02  1406909     0.00     0.00  bitvec::setbits(int, bitvec const&)
  0.38      5.02     0.02  1288536     0.00     0.00  std::complex<double>::imag() const
  0.38      5.04     0.02   534230     0.00     0.00  term::operator=(term const&)
  0.38      5.06     0.02       32     0.00     0.00  quState::quState(int)
  0.38      5.08     0.02       21     0.00     0.00  quBaseState::opend()
  0.38      5.10     0.02       20     0.00     0.00  quSubState::baseterms() const
  0.38      5.12     0.02                             termlist::operator=(termlist const&)
  0.38      5.14     0.02                             termlist::nbits() const
  0.28      5.15     0.02                             bitvec::setbit(int, int)
  0.19      5.16     0.01  1416905     0.00     0.00  bitvec::operator|=(bitvec const&)
  0.19      5.17     0.01   564373     0.00     0.00  bitvec::operator&=(bitvec const&)
  0.19      5.18     0.01   525941     0.00     0.00  quSubState::baseterm(int) const
  0.19      5.19     0.01    99365     0.00     0.00  bitvec::testeq(bitvec const&) const
  0.19      5.20     0.01      276     0.00     0.00  SymTab::putentry(SymTable::entry*, SymTable::entry*)
  0.19      5.21     0.01       44     0.00     0.00  operator~(bitvec const&)
  0.19      5.22     0.01       21     0.00     0.01  quBaseState::opbegin()
  0.19      5.23     0.01        2     0.01     0.07  termlist::dellist()
  0.19      5.24     0.01        1     0.01     0.01  _GLOBAL__sub_I_nterms
  0.19      5.25     0.01                             term::nbits() const
  0.19      5.26     0.01                             bitvec::getword(int, int) const
  0.19      5.27     0.01                             std::complex<double> std::operator-<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      5.27     0.00   789785     0.00     0.00  terminfo::~terminfo()
  0.00      5.27     0.00   591604     0.00     0.00  bitvec::getword() const
  0.00      5.27     0.00   562855     0.00     0.00  bitvec::getbits(int, int) const
  0.00      5.27     0.00   525387     0.00     0.00  quBaseState::baseterm(int) const
  0.00      5.27     0.00    98419     0.00     0.00  termlist::hashfunct2(bitvec const&) const
  0.00      5.27     0.00    96973     0.00     0.00  operator==(bitvec const&, bitvec const&)
  0.00      5.27     0.00    21427     0.00     0.00  sDef::id() const
  0.00      5.27     0.00     6456     0.00     0.00  bool std::operator><char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.27     0.00     4125     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.27     0.00     3876     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.27     0.00     2906     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      5.27     0.00     2338     0.00     0.00  yylex()
  0.00      5.27     0.00     1478     0.00     0.00  tType::tType(BaseType)
  0.00      5.27     0.00     1104     0.00     0.00  sArgDef::object() const
  0.00      5.27     0.00     1052     0.00     0.00  tType::ord() const
  0.00      5.27     0.00     1013     0.00     0.00  tType::basetype() const
  0.00      5.27     0.00      881     0.00     0.00  sObject::parent() const
  0.00      5.27     0.00      842     0.00     0.00  tType::operator=(tType const&)
  0.00      5.27     0.00      826     0.00     0.00  std::_List_const_iterator<sObject*>::operator!=(std::_List_const_iterator<sObject*> const&) const
  0.00      5.27     0.00      783     0.00     0.00  std::_List_const_iterator<sObject*>::operator++()
  0.00      5.27     0.00      692     0.00     0.00  tValue::delpointer()
  0.00      5.27     0.00      692     0.00     0.00  tValue::ord() const
  0.00      5.27     0.00      692     0.00     0.00  tValue::basetype() const
  0.00      5.27     0.00      663     0.00     0.00  tValue::~tValue()
  0.00      5.27     0.00      554     0.00     0.00  sList<sDef>::next(void*&) const
